linha,nome
Linhas de Ônibus da Vialoc,Jardim Europa - Pres. Vargas
Linhas de Ônibus da Vialoc,Jardim Europa - Ver-o-Peso
Linhas de Ônibus da Vialoc,Tenoné - Centro
Linhas de Ônibus da Vialoc,Icoaraci - Pres. Vargas
Linhas de Ônibus da Vialoc,Icoaraci - Ver-o-Peso (Paracuri I)
Linhas de Ônibus da Vialoc,Distrito Industrial - Ver-o-Peso
Linhas de Ônibus da Vialoc,Curuçambá - Iguatemi
Linhas de Ônibus da Vialoc,Curuçambá - Ver-o-Peso
Linhas de Ônibus da Vialoc,Ananindeua - Ver-o-Peso (Floresta Park)
Linhas de Ônibus da Vialoc,Marituba - Pátio Belém (Cerâmica)
Linhas de Ônibus da Vialoc,Marituba - Pátio Belém (Colônia)
Linhas de Ônibus da Vialoc,Marituba - Ver-o-Peso (Cerâmica)
Linhas de Ônibus da Vialoc,Marituba - Doca (Cerâmica)
Linhas de Ônibus da Vialoc,Ananindeua - P. Vargas (Aurá)
Linhas de Ônibus da Vialoc,Maguari - Doca
Linhas de Ônibus da Vialoc,Maguari - Pátio Belém
Linhas de Ônibus da Mayara Transportes,Tókio
Linhas de Ônibus da Mayara Transportes,Campos Elíseos
Linhas de Ônibus da Mayara Transportes,Santa Helena - Jardim Modelo
Linhas de Ônibus da Transportes Cidade Nova,Fonte Boa - UFPA (via F. de Assis)
Linhas de Ônibus da Transportes Cidade Nova,Fonte Boa - UFPA (via Barão)
Linhas de Ônibus da Transportes Cidade Nova,Santa Terezinha (via Apeú)
Linhas de Ônibus da Belém Rio | Transportes Nova Marambaia,Icoaraci - Centro
Linhas de Ônibus da Viação Forte,Guanabara - Felipe Patroni
Linhas de Ônibus da Viação Forte,Guanabara - Centro
Linhas de Ônibus da Viação Forte,Jardim Sideral - Curuçambá
Linhas de Ônibus da Viação Forte,Marambaia - Ver-o-Peso
Linhas de Ônibus da Viação Forte,Jardim Sideral - Ver-o-Peso
Linhas de Ônibus da Viação Forte,Cidade Nova 4 - Ver-o-Peso
Linhas de Ônibus da Viação Forte,Cidade Nova 5 - Ver-o-Peso
Linhas de Ônibus da Viação Forte,Cidade Nova 6 - Pres. Vargas
Linhas de Ônibus da Viação Forte,PAAR - São Brás
Linhas de Ônibus da Viação Forte,Cidade Nova 8 - Pres. Vargas
Linhas de Ônibus da Viação Forte,Guajará - São Brás
Linhas de Ônibus da Viação Forte,Guajará - Ver-o-Peso
Linhas de Ônibus da Viação Forte,PAAR - Ver-o-Peso
Linhas de Ônibus da Viação Forte,Icuí - Ver-o-Peso
Linhas de Ônibus da Viação Forte,Icuí - Pres. Vargas
Linhas de Ônibus da Viação Forte,Cidade Nova - UNAMA
Linhas de Ônibus da Viação Forte,Jaderlândia - Pátio Belém
Linhas de Ônibus da Viação Forte,Jaderlândia - Pres. Vargas
Linhas de Ônibus da Viação Forte,Jaderlândia - Ver-o-Peso
Linhas de Ônibus da Viação Forte,40 Horas - Pres. Vargas
Linhas de Ônibus da Belém Rio | Vialoc,Icoaraci - Ver-o-Peso (COHAB)
Linhas de Ônibus da Expresso São José,KM 07 - FCAT
Linhas de Ônibus da Expresso São José,Parque dos Castanhais - FCAT
Linhas de Ônibus da Belém Rio | Viação Forte,Icoaraci - Cidade Nova
Linhas de Ônibus da Belém Rio | Viação Rio Guamá,Satélite - UFPA
Linhas de Ônibus da Expresso Modelo,Belém - Castanhal
Linhas de Ônibus da Expresso Modelo,Belém - Santa Izabel
Linhas de Ônibus da Expresso Modelo,Santa Izabel - Inhangapi (Porto da Balsa)
Linhas de Ônibus da Unicootrans,Saré - Castanheira
Linhas de Ônibus da Unicootrans,Geraldo Palmeira - Castanheira
Linhas de Ônibus da Unicootrans,Águas Lindas - Castanheira (via Nova Vida)
Linhas de Ônibus da Unicootrans,Águas Lindas - Cidade Nova 6
Linhas de Ônibus da Unicootrans,Águas Brancas - Castanheira
Linhas de Ônibus da Voyage Transportes,Curuçambá - Castanheira
Linhas de Ônibus da Voyage Transportes,Águas Lindas - Castanheira (via Olga Benário)
Linhas de Ônibus da Transcap,Mosqueiro - São Brás
Linhas de Ônibus da Transcap,Benevides - São Brás
Linhas de Ônibus da Transcap,Benevides - Pres. Vargas
Linhas de Ônibus da Transcap,Santa Bárbara - São Brás
Linhas de Ônibus da Coopcaban,Saré - 40 Horas
Linhas de Ônibus da Coopcaban,Anita Gerosa / Icuí - Castanheira
Linhas de Ônibus da Coopcaban,40 Horas - Castanheira
Linhas de Ônibus da Universidade Federal Rural da Amazônia,Bagé (Circular)
Linhas de Barca da Coopbarq,Combú
Linhas de Barca da Navegação Confiança,Icoaraci - Cotijuba
Linhas de Ônibus da Belém Rio,Sacramenta - Nazaré
Linhas de Ônibus da Belém Rio,Médici - Pres. Vargas
Linhas de Ônibus da Belém Rio,Djalma Dutra
Linhas de Ônibus da Belém Rio,Telégrafo - Ver-o-Peso
Linhas de Ônibus da Belém Rio,Sideral - Pátio Belém
Linhas de Ônibus da Belém Rio,Conj. Maguari - Ver-o-Peso
Linhas de Ônibus da Belém Rio,Satélite - Felipe Patroni
Linhas de Ônibus da Belém Rio,Satélite - Ver-o-Peso
Linhas de Ônibus da Belém Rio,Sideral - Pres. Vargas
Linhas de Ônibus da Belém Rio,Tapajós - Ver-o-Peso
Linhas de Ônibus da Belém Rio,Tenoné - Ver-o-Peso
Linhas de Ônibus da Belém Rio,Cabanagem - Pres. Vargas
Linhas de Ônibus da Belém Rio,Cabanagem - Ver-o-Peso
Linhas de Ônibus da Belém Rio,Icoaraci - Ver-o-Peso (Paracuri II)
Linhas de Ônibus da Belém Rio,Icoaraci - Almirante Barroso
Linhas de Ônibus da Belém Rio,Icoaraci - São Brás
Linhas de Ônibus da Belém Rio,Outeiro - São Brás
Linhas de Ônibus da Belém Rio,Outeiro - Pres. Vargas
Linhas de Ônibus da Belém Rio,Águas Negras - São Brás
Linhas de Ônibus da Belém Rio,Fama - São Brás
Linhas de Barca da Arapari Navegação,Belém - Barcarena (Arapari)
Linhas de Barca da Henvil Navegação,Belém - Salvaterra (Camará)
Linhas de Barca da Henvil Navegação,Inhangapi - Bujaru
Linhas de Ônibus da Cooptarvc,Porto - Conde
Linhas de Ônibus da Cooptarvc,Porto - Itupanema - Caripi
Linhas de Barca da Amazonat,Belém - Barcarena (São Francisco)
Linhas de Ônibus da Cooptauá,Belém - Tauá
Linhas de Ônibus da Expresso Amorim Vitória,Imperador - Centro
Linhas de Ônibus da Rosas Transportes,Jaderlândia (2ª Rua) - COHAB
Linhas de Ônibus da Salve Maria,Jaderlândia (3ª Rua) - Apeú
Linhas de Ônibus da Salve Maria,Betânia
Linhas de Ônibus da Viação Forte,40 Horas - Ver-o-Peso
Linhas de Ônibus da Viação Forte,Jiboia Branca - Ver-o-Peso
Linhas de Ônibus da Viação Forte,40 Horas - São Brás
Linhas de Ônibus da Viação Forte,Curuçambá - UFPA
Linhas de Ônibus da Transporte Macapazinho,Cariri
Linhas de Ônibus da Transporte Macapazinho,Calúcia
Linhas de Ônibus da Ruth Transportes,Ipês Tangarás - UFPA
Linhas de Ônibus da Expresso Macapazinho,Pantanal
Linhas de Ônibus da Expresso Macapazinho,Milagre - FCAT
Linhas de Ônibus da TransMosqueiro | Shallom,Vila - Baía do Sol
Linhas de Ônibus da TransMosqueiro,Vila - Carananduba
Linhas de Ônibus da TransMosqueiro,Vila - Paraíso
Linhas de Ônibus da TransMosqueiro,Circular - Portal
Linhas de Ônibus da Luane Transportes,Parque dos Buritis - FCAT
Linhas de Ônibus da Luane Transportes,Jagatá - UFPA
Linhas de Ônibus da Universidade Federal do Pará,Circular UFPA
Linhas de Ônibus da Transportes Águas Lindas,Águas Lindas - Pátio Belém
Linhas de Ônibus da Transportes Águas Lindas,Águas Lindas - Ver-o-Peso
Linhas de Ônibus da Transportes Águas Lindas,Águas Lindas - Pres. Vargas
Linhas de Ônibus da Transportes Águas Lindas,Águas Lindas - Icoaraci
Linhas de Ônibus da Transportes São Luiz,Canudos - Pres. Vargas
Linhas de Ônibus da Transportes São Luiz | Transportes São José,Canudos - Ver-o-Peso
Linhas de Ônibus da Vialuz,Pedreira - Condor
Linhas de Ônibus da Vialuz,Pedreira - Felipe Patroni
Linhas de Ônibus da Transportes São José,Canudos - Praça Amazonas
Linhas de Ônibus da Transportes São José,Canudos II - Praça Amazonas (Tucunduba)
Linhas de Ônibus da Transportes Canadá,UFPA · Alcindo Cacela - José Malcher
Linhas de Ônibus da Transportes Canadá,Domingos Marreiros
Linhas de Ônibus da Transportes Canadá,Castanheira - Pátio Belém (Seletivo)
Linhas de Ônibus da Transuni,Eduardo Angelim - São Brás
Linhas de Ônibus da Transuni,Tapanã - Castanheira
Linhas de Ônibus da Fênix Transportes,40 Horas - Marituba
Linhas de Ônibus da Fênix Transportes,Icuí - Marituba
Linhas de Ônibus da Fênix Transportes,PAAR - CEASA
Linhas de Ônibus da Transurb | Viação Guajará,UFPA - Cidade Nova 6
Linhas de Ônibus da Belém Rio,Outeiro - São Brás (via Itaiteua)
Linhas de Ônibus da Transportadora Arsenal,Arsenal
Linhas de Ônibus da Transportadora Arsenal,Cipriano Santos - Pres. Vargas
Linhas de Ônibus da Transportadora Arsenal,Ceasa - Felipe Patroni
Linhas de Ônibus da Transportadora Arsenal,Ceasa - Ver-o-Peso
Linhas de Ônibus da Transurb | Viação Guajará | Viação Rio Guamá,UFPA - Icoaraci
Linhas de Ônibus da Autoviária Paraense,Marituba - Pátio Belém (Decouville)
Linhas de Ônibus da Autoviária Paraense,Marituba - São Brás
Linhas de Ônibus da Autoviária Paraense,Marituba - Ver-o-Peso
Linhas de Ônibus da Autoviária Paraense,Almir Gabriel - Pres. Vargas
Linhas de Ônibus da Autoviária Paraense,Almir Gabriel - Ver-o-Peso
Linhas de Ônibus da Autoviária Paraense,Almir Gabriel - Pátio Belém
Linhas de Ônibus da Autoviária Paraense,Marituba - Pátio Belém (Mario Couto)
Linhas de Ônibus da Autoviária Paraense,Marituba - Ver-o-Peso (via Alça Viária)
Linhas de Ônibus da Autoviária Paraense,Marituba - Icoaraci
Linhas de Ônibus da Autoviária Paraense,Julia Seffer - Pres. Vargas
Linhas de Ônibus da Viação Monte Cristo,Sacramenta - Humaitá
Linhas de Ônibus da Viação Monte Cristo,Sacramenta - São Brás
Linhas de Ônibus da Viação Monte Cristo,Sacramenta - Pres. Vargas
Linhas de Ônibus da Viação Monte Cristo,Pedreira - Nazaré
Linhas de Ônibus da Viação Monte Cristo,Pedreira - Lomas (Linha A / Euclides da Cunha)
Linhas de Ônibus da Viação Monte Cristo,Pedreira - Lomas (Seletivo)
Linhas de Ônibus da Viação Monte Cristo,Marex - Arsenal
Linhas de Ônibus da Barata Transportes,Benfica Murinin - Castanheira
Linhas de Ônibus da Barata Transportes,Marituba - Cidade Nova
Linhas de Ônibus da Barata Transportes,Júlia Seffer - Cidade Nova
Linhas de Ônibus da Barata Transportes,Águas Brancas - Cidade Nova
Linhas de Ônibus da Barata Transportes,Icoaraci - Marituba
Linhas de Ônibus da Barata Transportes,Unama BR - Pres. Vargas
Linhas de Ônibus da Barata Transportes,Ananindeua - Pres. Vargas (Águas Brancas)
Linhas de Ônibus da Barata Transportes,Distrito Industrial - Pátio Belém
Linhas de Ônibus da Barata Transportes,Distrito Industrial - São Brás
Linhas de Ônibus da Barata Transportes,Julia Seffer - Pátio Belém
Linhas de Ônibus da Barata Transportes,Distrito Industrial - Cidade Nova
Linhas de Ônibus da Viação Monte Cristo,CDP/Providência - Ver-o-Peso
Linhas de Ônibus da Viação Monte Cristo,Pedreira - Lomas (Linha B / BR 316)
Linhas de Ônibus da Transurb,UFPA - Tamoios
Linhas de Ônibus da Transurb,João Paulo II - Ver-o-Peso
Linhas de Ônibus da Transurb,Marex - Felipe Patroni
Linhas de Ônibus da Viação Rio Guamá,Guamá - Conselheiro
Linhas de Ônibus da Viação Rio Guamá,Guamá - Montepio
Linhas de Ônibus da Viação Rio Guamá,Guamá - Ver-o-Peso
Linhas de Ônibus da Viação Rio Guamá,Guamá - Pres. Vargas
Linhas de Ônibus da Viação Rio Guamá,Guamá - Pátio Belém
Linhas de Ônibus da Viação Rio Guamá,Marex - Ver-o-Peso
Linhas de Ônibus da Viação Rio Guamá,Marex - Pres. Vargas
Linhas de Ônibus da Transportes Nova Marambaia | Vialoc,Eduardo Angelim - Ver-o-Peso
Linhas de Ônibus da Transportes Nova Marambaia | Transcol,Pratinha - Castanheira (via Júlio César)
Linhas de Ônibus da Viação Guajará,Cremação - Estrada Nova
Linhas de Ônibus da Viação Guajará,Cremação - Alcindo Cacela
Linhas de Ônibus da Viação Guajará,UFPA - Pedreira
Linhas de Ônibus da Viação Guajará,UFPA - Padre Eutí­quio
Linhas de Ônibus da Viação Guajará,UFPA - Alcindo Cacela
Linhas de Ônibus da Viação Guajará,UFPA - Ver-o-Peso
Linhas de Ônibus da Viação Guajará,UFPA - Pres. Vargas
Linhas de Ônibus da Viação Guajará,UFPA - Centro Histórico
Linhas de Ônibus da Transportes Nova Marambaia | Viação Guajará,Tapanã - UFPA
Linhas de Ônibus da Vialoc | Viação Guajará,Marituba - UFPA
Linhas de Ônibus da Transportes Nova Marambaia,Pratinha - Pres. Vargas
Linhas de Ônibus da Transportes Nova Marambaia,Pratinha - Castanheira (via Tapanã)
Linhas de Ônibus da Transportes Nova Marambaia,Marex - Centro (via Bengui)
Linhas de Ônibus da Transportes Nova Marambaia,Pratinha - UFPA
Linhas de Ônibus da Transportes Nova Marambaia,Benguí - Pres. Vargas
Linhas de Ônibus da Transportes Nova Marambaia,Benguí - Felipe Patroni
Linhas de Ônibus da Transportes Nova Marambaia,Benguí - Ver-o-Peso
Linhas de Ônibus da Transportes Nova Marambaia,Cordeiro de Farias - Pres. Vargas
Linhas de Ônibus da Transportes Nova Marambaia,Canarinho - Pres. Vargas
Linhas de Ônibus da Transportes Nova Marambaia,Cordeiro de Farias - Ver-o-Peso
Linhas de Ônibus da Transportes Nova Marambaia,Pratinha - Ver-o-Peso
Linhas de Ônibus da Transportes Nova Marambaia,Cordeiro de Farias - Castanheira
Linhas de Ônibus da Transportes Nova Marambaia,Canarinho / Tapajós - Ver-o-Peso
Linhas de Ônibus da Transportes Nova Marambaia,Tapanã II - Ver-o-Peso
Linhas de Ônibus da Transportes Nova Marambaia,Tapanã - Felipe Patroni
Linhas de Ônibus da Transportes Nova Marambaia,Tapanã - Ver-o-Peso
Linhas de Ônibus da Transportes Nova Marambaia,Tapanã - Pres. Vargas
